Title,Author1,Author2,Author3,Author4,Author5,Link,Cited By
AI programming by children using snap! block programming in a developing country,KM Kahn,R Megasari,E Piantari,E Junaeti,,https://ecraft2learn.github.io/ai/publications/EC-TEL_2018_source-files_48%20kk%20edits%20changes%20accepted.pdf,24
Enhanced Digital Library with Book Recommendations Based on Collaborative Filtering,E Junaeti,,,,,http://www.journaleet.in/index.php/jeet/article/view/157882,0
"Perbandingan Metode Weighted Product (WP), Weighted Sum Model (WSM) Dan Multi Attribute Utility Theory (MAUT) Dalam Sistem Pendukung Keputusan …",H Siregar,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/10,8
Natural Language Processing and Levenshtein Distance for Generating Error Identification Typed Questions on TOEFL,LS Riza,EF Rahman,,,,https://ejournal.upi.edu/index.php/JCS/article/view/24940,3
PENGINTEGRASIAN KARTU GEOMATIKA SEBAGAI ALTERNATIF BAHAN AJAR BANGUN DATAR KELAS 4 SEKOLAH DASAR BERBASIS NILAI-NILAI KEARIFAN …,,,,,,http://repository.upi.edu/id/eprint/50043,0
The expert system of children's digestive tract diseases diagnostic using combination of forward chaining and certainty factor methods,I Astuti,,,,,https://ieeexplore.ieee.org/abstract/document/8257185/,14
The application of ADDIE model in developing adventure game-based multimedia learning to improve students' understanding of basic programming,EF Rahman,,,,,https://ieeexplore.ieee.org/abstract/document/8257130/,8
Sistem Pencatatan Kehadiran Pertemuan Berbasis Mobile dengan Metode Pengembangan Spiral,R Megasari,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/21,1
Upkabs: A prototype app to extract internal data potential for future interest,H Siregar,RA Sukamto,,,,https://ieeexplore.ieee.org/abstract/document/8257207/,0
Multiplatform application technology–based heutagogy on learning batik: A curriculum development framework,I Widiaty,LS Riza,AG Abdullah,,,https://www.researchgate.net/profile/Sugeng-Mubaroq/publication/346511934_Multiplatform_application_technology-based_heutagogy_on_learning_batik_A_curriculum_development_framework/links/5fc5b9a292851c30129940e4/Multiplatform-application-technology-based-heutagogy-on-learning-batik-A-curriculum-development-framework.pdf,16
Genomic Repeat Detection Using the Knuth-Morris-Pratt Algorithm on R High-Performance-Computing Package,LS Riza,TH Munir,S Nazir,,,http://home.ijasca.com/data/documents/7_page-93-110_Genomic-Repeat-Detection-Using-the-Knuth-Morris-Pratt-Algorithm-on-R-High-Performance-Computing-Package_1.pdf,5
Graduates Profile Mapping based on Job Vacancy Information Clustering,R Megasari,E Piantari,,,,https://ieeexplore.ieee.org/abstract/document/9392067/,0
A system to diagnose learning disability in children of special need,LS Riza,,,,,https://ieeexplore.ieee.org/abstract/document/7852606/,3
Development of Computational Story for Teaching Algorithm and Programming,LS Riza,Y Wihardi,,,,https://ieeexplore.ieee.org/abstract/document/8878556/,1
Penerapan Association Rules Menggunakan Algoritma Apriori Pada Sistem Rekomendasi Pemilihan Resep Obat Berdasarkan Data Rekam Medis,R Megasari,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/18,2
Implementation of CM-SPADE Algorithm In Building Denial of Service Detection System Model Using Snort,EP Nugroho,R Megasari,E Junaeti,,,https://scholar.archive.org/work/ecm6o7ze3rb2rjwbbvpehwnfdi/access/wayback/https://eudl.eu/pdf/10.4108/eai.12-10-2019.2296332,0
Prediction of Diarrhea Sufferers in Bandung with Seasonal Autoregressive Integrated Moving Average (SARIMA),E Piantari,M Munir,,,,https://ejournal.upi.edu/index.php/JCS/article/view/25375,0
Isu Proses Bisnis Berbasis Artificial Intelligence untuk Menyosong Era Industri 4.0,H Siregar,W Setiawan,PD Dirgantari,,,https://ejournal.undip.ac.id/index.php/jbs/article/view/31172,0
Color and texture features extraction on content-based image retrieval,HW Prabawa,,,,,https://ieeexplore.ieee.org/abstract/document/8257205/,6
Implementation of the Cellular Automata Algorithm for developing an educational game,D Rohendi,LS Riza,,,,https://ieeexplore.ieee.org/abstract/document/7852628/,6
Collaborative Information System Monitoring and Evaluation Tools Model,A Wahyudin,H Siregar,,,,https://ieeexplore.ieee.org/abstract/document/9392047/,0
PENGGUNAAN SOFTWARE PROTEUS UNTUK MENINGKATKAN HASIL BELAJAR SISWA PADA MATA PELAJARAN MIKROPROSESOR DAN MIKROKONTROLER …,,,,,,http://repository.upi.edu/id/eprint/58674,0
Gamification development in attainment concept model learning for students' comprehension enhancement,HW Prabawa,,,,,https://ieeexplore.ieee.org/abstract/document/8257200/,2
ANALISIS GAYA KEPEMIMPINAN KEPALA SEKOLAH DALAM MENJALANKAN FUNGSI MANAJEMEN DI SMAN 1 BALEENDAH,,,,,,http://repository.upi.edu/id/eprint/50977,0
Implementation of AES and ECDSA for Encrypted Message in Instant Messaging Application,,,,,,https://ieeexplore.ieee.org/abstract/document/9392034/,0
The implementation of sax and random projection for motif discovery on the orbital elements and the resonance argument of asteroid,LS Riza,JA Utama,,,,https://ijnaa.semnan.ac.ir/article_5543_7c7f9ec52fa68c9087e64cad3b3eeb38.pdf,0
