Title,Author1,Author2,Author3,Author4,Author5,Link,Summary,Cited By
Sistem Reporting Keamanan pada Jaringan Cloud Computing Melalui bot Telegram dengan Menggunakan Teknik Intrussion Detection and Prevention System,EP Nugroho,,,,,https://journal.nurulfikri.ac.id/index.php/JTT/article/view/233,"EP Nugroho - Jurnal Teknologi Terpadu, 2019 - journal.nurulfikri.ac.id",2
Parallel Exponential Smoothing Using the Bootstrap Method in R for Forecasting Asteroid's Orbital Elements.,LS Riza,JA Utama,,,,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01287680&AN=128402737&h=v%2FQ%2FaDGmog835UWu%2F1m1XFSHhp%2Fdnyfy6hf6LmOS3PSOz6ftB2O9b5LEsquUL03GVDNI3qFYOq1Gv3HD3ROmfw%3D%3D&crl=c,"LS Riza, JA Utama, SM Putra… - Pertanika Journal of …, 2018 - search.ebscohost.com",9
MetaheuristicOpt: An R Package for Optimisation Based on Meta-Heuristics Algorithms.,LS Riza,EP Nugroho,,,,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01287680&AN=131365958&h=mr6N256a36HL3u3QPyLMPHQd7NHYSj3viRpnlJf%2BOeMo19l4Gwoc7QsFxT2Oz%2FBI%2Bmc43pV%2FFNqjBZ7H0zI3Gg%3D%3D&crl=c,"LS Riza, EP Nugroho - Pertanika Journal of Science & …, 2018 - search.ebscohost.com",6
Development of online learning groups based on MBTI learning style and fuzzy algorithm,BL Putro,Y Rosmansyah,,,,https://search.proquest.com/openview/ce2bc1c681020276e0ae2fe89f2afa24/1?pq-origsite=gscholar&cbl=376296,"BL Putro, Y Rosmansyah - Telkomnika, 2020 - search.proquest.com",1
"TEACHING, LEARNING AND SHARING BASED WEB-LEARNING WITH EVFA",EA Nurdin,,,,,https://www.kosen-k.go.jp/Portals/0/kokusai/ISATE/Proceeding/2014-9Other.pdf,"EA Nurdin, AABA Santoso - kosen-k.go.jp",0
Aplikasi Produksi Teh Berbasis Web pada PT Maskapai Indorub Sumber Wadung,R Yuliana,BL Putro,HP Utomo,,,https://journals.telkomuniversity.ac.id/jti/article/view/440,"R Yuliana, BL Putro, HP Utomo - Jurnal Teknologi …, 2012 - journals.telkomuniversity.ac.id",0
DESAIN DAN IMPLEMENTASI COMPUTERIZED ADAPTIVE TEST DENGAN E-PSIKOMETRIK,R Risnandar,SD Budiwati,EP Nugroho,,,http://seminar.bsi.ac.id/snit/index.php/snit-2014/article/view/183,"R Risnandar, SD Budiwati, EP Nugroho - SNIT 2014, 2014 - seminar.bsi.ac.id",0
Sistem Informasi,A Wahyudin,,,,,http://file.upi.edu/Direktori/FPMIPA/PRODI._ILMU_KOMPUTER/197112232006041-ASEP_WAHYUDIN/Isu%20Etika%20Profesi.pdf,"A Wahyudin, S Kom, MTI Komputer - … dan Konsep SI.[Online] Available at, 2010 - file.upi.edu",2

















































































PENERAPAN MODEL CREATIVE PROBLEM SOLVING UNTUK MENINGKATKAN KEMAMPUAN BERPIKIR KREATIF SISWA DALAM MATA PELAJARAN IPA SD …,,,,,,http://repository.upi.edu/id/eprint/32260,R Erlangga - 2018 - repository.upi.edu,0
PENGEMBANGAN FRAMEWORK MOBILE LEARNING PADA PERTANIAN SAYURAN,E Erlangga,H Siregar,Y Wihardi,,,https://www.jurnal.stmik-mi.ac.id/index.php/jcb/article/view/200,"E Erlangga, H Siregar, Y Wihardi - Jurnal Computech & Bisnis, 2020 - jurnal.stmik-mi.ac.id",0
PENERAPAN MODEL INKUIRI FORMAT DIVERGENT DALAM PEMBELAJARAN PENCAK SILAT DI SEKOLAH DASAR Penelitian Tindakan kelas pada siswa kelas V,,,,,,http://repository.upi.edu/id/eprint/47033,B Erlangga - 2019 - repository.upi.edu,0
ANALISIS PERBANDINGAN PERSEPSI TAMU MANCANEGARA DENGAN TAMU NUSANTARA TERHADAP HOTEL YANG BERKONSEP GREEN HOTEL DI KOTA …,,,,,,http://repository.upi.edu/id/eprint/24674,TF Erlangga - 2017 - repository.upi.edu,0
MODÉL ÉXPLICIT INTRUCTIONDINA PANGAJARAN MACA CARPON,,,,,,http://repository.upi.edu/id/eprint/13952,I Erlangga - 2014 - repository.upi.edu,0
SEMANGAT KEWIRAUSAHAAN DI PERGURUAN TINGGI (The 5pirit OF Entrepreneurship),H Erlangga,,,,,http://repository.unpas.ac.id/id/eprint/51163,"H Erlangga, S Sos - 2018 - repository.unpas.ac.id",4
